2.59, 2, white, Exit
2.59, 1, white, Entry
2.64, 1, white, Exit
2.64, 4, white, Entry
2.64, 4, white, Exit
2.64, 1, white, Entry
2.64, 1, white, Exit
2.64, 2, white, Entry
2.64, 2, white, Exit
2.64, 1, white, Entry
2.71, 1, white, Exit
2.71, 4, white, Entry
2.71, 4, white, Exit
2.71, 3, white, Entry
2.71, 3, white, Exit
2.71, 4, white, Entry
2.71, 4, white, Exit
2.71, 3, white, Entry
2.71, 3, white, Exit
2.71, 4, white, Entry
2.71, 4, white, Exit
2.71, 1, white, Entry
2.71, 1, white, Exit
2.71, 2, white, Entry
2.71, 2, white, Exit
2.71, 1, white, Entry
2.77, 1, white, Exit
2.77, 4, white, Entry
2.77, 4, white, Exit
2.77, 3, white, Entry
2.77, 3, white, Exit
2.77, 4, white, Entry
2.77, 4, white, Exit
2.77, 1, white, Entry
2.77, 1, white, Exit
2.77, 2, white, Entry
2.77, 2, white, Exit
2.77, 1, white, Entry
2.82, 1, white, Exit
2.82, 4, white, Entry
2.82, 4, white, Exit
2.82, 3, white, Entry
2.82, 3, white, Exit
2.82, 4, white, Entry
2.82, 4, white, Exit
2.82, 1, white, Entry
2.82, 1, white, Exit
2.82, 2, white, Entry
2.82, 2, white, Exit
2.82, 1, white, Entry
2.88, 1, white, Exit
2.88, 4, white, Entry
2.88, 4, white, Exit
2.88, 3, white, Entry
2.88, 3, white, Exit
2.88, 4, white, Entry
2.88, 4, white, Exit
2.88, 2, white, Entry
2.88, 2, white, Exit
2.88, 1, white, Entry
2.93, 1, white, Exit
2.93, 4, white, Entry
2.93, 4, white, Exit
2.93, 3, white, Entry
2.93, 3, white, Exit
2.93, 4, white, Entry
2.93, 4, white, Exit
2.93, 1, white, Entry
2.93, 1, white, Exit
2.93, 2, white, Entry
2.93, 2, white, Exit
2.93, 1, white, Entry
2.99, 1, white, Exit
2.99, 4, white, Entry
2.99, 4, white, Exit
2.99, 1, white, Entry
2.99, 1, white, Exit
2.99, 2, white, Entry
2.99, 2, white, Exit
2.99, 1, white, Entry
2.99, 1, white, Exit
2.99, 2, white, Entry
3.04, 2, white, Exit
3.04, 4, white, Entry
3.04, 4, white, Exit
3.04, 1, white, Entry
3.04, 1, white, Exit
3.04, 2, white, Entry
3.04, 2, white, Exit
3.04, 1, white, Entry
3.05, 1, white, Exit
3.05, 2, white, Entry
3.09, 2, white, Exit
3.09, 4, white, Entry
3.11, 4, white, Exit
3.11, 2, white, Entry
3.11, 2, white, Exit
3.11, 1, white, Entry
3.11, 1, white, Exit
3.11, 2, white, Entry
3.16, 2, white, Exit
3.16, 4, white, Entry
3.16, 4, white, Exit
